Node 1 Name,Node 2 Name,Is Accessible
N367,N389,TRUE
N376,N389,TRUE
N384,N392,TRUE
N390,N391,TRUE
N376,N390,TRUE
N388,N391,TRUE
N388,N389,TRUE
N393,N378,TRUE
N394,N397,TRUE
N393,N394,TRUE
N397,N396,TRUE
N395,N396,TRUE
Stadium Field,N395,TRUE
Stadium Field,N394,TRUE
N395,N394,TRUE
N397,Stadium Field,TRUE
N396,Stadium Field,TRUE
N396,N398,TRUE
N387,N398,TRUE
N391,N398,TRUE
N400,N399,TRUE
N387,N399,TRUE
N396,N405,TRUE
N404,N405,TRUE
N403,N404,TRUE
N402,N403,TRUE
N401,N402,TRUE
N401,N400,TRUE
N397,N406,TRUE
N403,N406,TRUE
Radio Club W2SZ,N407,TRUE
N400,N407,TRUE
Stacwyck Apartments,N408,TRUE
N402,N408,TRUE
N411,N410,TRUE
Stacwyck Apartments,N409,TRUE
N410,N409,TRUE
N412,Radio Club W2SZ,TRUE
N411,N412,TRUE
N413,N411,TRUE
N421,Bryckwyck,TRUE
N412,N422,TRUE
N420,N418,TRUE
N421,N420,TRUE
N416,N421,TRUE
N419,N414,TRUE
N415,N416,TRUE
N415,N414,TRUE
N417,N418,TRUE
N422,N417,TRUE
N414,N417,TRUE
N415,N413,TRUE
Harkness Field,N423,TRUE
N379,N423,TRUE
N424,N406,TRUE
N425,N424,TRUE
N426,N425,TRUE
N429,N426,TRUE
N427,N426,TRUE
N428,N429,TRUE
N428,N427,TRUE
N426,N430,TRUE
RAHPS B,N430,TRUE
N433,N432,TRUE
N431,N432,TRUE
N424,N431,TRUE
N427,N433,TRUE
N413,N433,TRUE
N411,N431,TRUE
N429,N393,TRUE
N435,N434,TRUE
N433,N434,TRUE
N437,N438,TRUE
N428,N439,TRUE
N438,N439,TRUE
N437,N436,TRUE
N428,N436,TRUE
N439,N440,TRUE
N72,N440,TRUE
N443,N441,TRUE
N442,N441,TRUE
N440,N441,TRUE
N444,N441,TRUE
N437,N445,TRUE
N444,N445,TRUE
N73,N444,TRUE
N438,N446,TRUE
Colonie Apartments,N446,TRUE
N447,N145,TRUE
N144,N447,FALSE
N184,N447,TRUE
N287,N216,FALSE
N169,N216,TRUE
Quadrangle Complex,N448,TRUE
N128,N448,TRUE
